Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1997,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,1122000000.0,,
1997,New Zealand,,,,,,,,,,,,,,,
1997,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,NOK,Norwegian Krone,0.0,Units,,,6963000000.0,,
1997,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,PLN,Zloty,0.0,Units,,,844000000.0,,
1997,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,970000000.0,,
1997,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,315000000.0,,
1997,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,293000000.0,,
1997,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,SEK,Swedish Krona,0.0,Units,,,7704000000.0,,
1997,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,CHF,Swiss Franc,0.0,Units,,,3841000000.0,,
1997,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,TRY,Turkish Lira,0.0,Units,,,209000000.0,,
1997,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,GBP,Pound Sterling,0.0,Units,,,3518000000.0,,
1997,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,USD,US Dollar,0.0,Units,,,43000000000.0,,
1998,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,152000000.0,,
1998,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,CAD,Canadian Dollar,0.0,Units,,,5253000000.0,,
1998,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,HRK,Croatian Kuna,0.0,Units,,,2432000000.0,,
1998,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,CZK,Czech Koruna,0.0,Units,,,13515000000.0,,
1998,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,1998.0,DKK,Danish Krone,0.0,Units,,,2908000000.0,,
