Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1997,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,JPY,Yen,0.0,Units,,,2191060000000.0,,
1997,Korea,,,,,,,,,,,,,,,
1997,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,60000000.0,,
1997,Netherlands,NLD,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,475000000.0,,
1997,New Zealand,,,,,,,,,,,,,,,
1997,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,NOK,Norwegian Krone,0.0,Units,,,3807000000.0,,
1997,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,PLN,Zloty,0.0,Units,,,498000000.0,,
1997,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,126000000.0,,
1997,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,56000000.0,,
1997,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,101000000.0,,
1997,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,SEK,Swedish Krona,0.0,Units,,,4712000000.0,,
1997,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,CHF,Swiss Franc,0.0,Units,,,1814000000.0,,
1997,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,TRY,Turkish Lira,0.0,Units,,,13000000.0,,
1997,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,GBP,Pound Sterling,0.0,Units,,,2825000000.0,,
1997,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,USD,US Dollar,0.0,Units,,,26776754000.0,,
1998,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,52000000.0,,
1998,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,CAD,Canadian Dollar,0.0,Units,,,6694000000.0,,
1998,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,HRK,Croatian Kuna,0.0,Units,,,602000000.0,,
1998,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,CZK,Czech Koruna,0.0,Units,,,6256000000.0,,
1998,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,DKK,Danish Krone,0.0,Units,,,4174000000.0,,
1998,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,549000000.0,,
1998,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,185000000.0,,
1998,Hungary,HUN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,HUF,Forint,0.0,Units,,,37776000000.0,,
1998,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,ISK,Iceland Krona,0.0,Units,,,1300000000.0,,
1998,India,,,,,,,,,,,,,,,
1998,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,5799000000.0,,
1998,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,JPY,Yen,0.0,Units,,,2329678000000.0,,
1998,Korea,,,,,,,,,,,,,,,
1998,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,60000000.0,,
1998,Netherlands,NLD,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,494000000.0,,
1998,New Zealand,NZL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,NZD,New Zealand Dollar,0.0,Units,,,602921835.0,,
1998,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,NOK,Norwegian Krone,0.0,Units,,,3944000000.0,,
1998,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,PLN,Zloty,0.0,Units,,,433000000.0,,
1998,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,197000000.0,,
1998,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,51000000.0,,
1998,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,EUR,Euro,0.0,Units,,,93000000.0,,
1998,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,SEK,Swedish Krona,0.0,Units,,,6557000000.0,,
1998,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,CHF,Swiss Franc,0.0,Units,,,1869000000.0,,
1998,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,TRY,Turkish Lira,0.0,Units,,,20000000.0,,
1998,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,GBP,Pound Sterling,0.0,Units,,,2758000000.0,,
1998,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1998.0,USD,US Dollar,0.0,Units,,,28172394000.0,,
1999,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,58000000.0,,
1999,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,CAD,Canadian Dollar,0.0,Units,,,7298000000.0,,
1999,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,HRK,Croatian Kuna,0.0,Units,,,912000000.0,,
1999,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,CZK,Czech Koruna,0.0,Units,,,6855000000.0,,
1999,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,DKK,Danish Krone,0.0,Units,,,4325000000.0,,
1999,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,527000000.0,,
1999,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,210000000.0,,
1999,Hungary,HUN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,HUF,Forint,0.0,Units,,,32288000000.0,,
1999,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,ISK,Iceland Krona,0.0,Units,,,1618000000.0,,
1999,India,,,,,,,,,,,,,,,
1999,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,8258000000.0,,
1999,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,JPY,Yen,0.0,Units,,,2243365000000.0,,
1999,Korea,,,,,,,,,,,,,,,
1999,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,67000000.0,,
1999,Netherlands,NLD,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,521000000.0,,
1999,New Zealand,NZL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,NZD,New Zealand Dollar,0.0,Units,,,663273374.0,,
1999,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,NOK,Norwegian Krone,0.0,Units,,,3960000000.0,,
1999,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,PLN,Zloty,0.0,Units,,,575000000.0,,
1999,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,210000000.0,,
1999,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,54000000.0,,
1999,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,EUR,Euro,0.0,Units,,,101000000.0,,
1999,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,SEK,Swedish Krona,0.0,Units,,,6180000000.0,,
1999,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,CHF,Swiss Franc,0.0,Units,,,2091000000.0,,
1999,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,TRY,Turkish Lira,0.0,Units,,,48000000.0,,
1999,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,GBP,Pound Sterling,0.0,Units,,,2929000000.0,,
1999,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1999.0,USD,US Dollar,0.0,Units,,,29997493000.0,,
2000,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,59000000.0,,
2000,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,CAD,Canadian Dollar,0.0,Units,,,8068000000.0,,
2000,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,HRK,Croatian Kuna,0.0,Units,,,2418000000.0,,
2000,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,CZK,Czech Koruna,0.0,Units,,,7209000000.0,,
2000,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,DKK,Danish Krone,0.0,Units,,,4367000000.0,,
2000,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,534000000.0,,
2000,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,228000000.0,,
2000,Hungary,HUN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,HUF,Forint,0.0,Units,,,27762000000.0,,
2000,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,ISK,Iceland Krona,0.0,Units,,,1789000000.0,,
2000,India,,,,,,,,,,,,,,,
2000,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,9720000000.0,,
2000,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,JPY,Yen,0.0,Units,,,2213095000000.0,,
2000,Korea,,,,,,,,,,,,,,,
2000,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,61000000.0,,
2000,Netherlands,NLD,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,524000000.0,,
2000,New Zealand,NZL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,NZD,New Zealand Dollar,0.0,Units,,,661771513.0,,
2000,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,NOK,Norwegian Krone,0.0,Units,,,4489000000.0,,
2000,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,PLN,Zloty,0.0,Units,,,1798000000.0,B,Break
2000,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,128000000.0,,
2000,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,67000000.0,,
2000,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,EUR,Euro,0.0,Units,,,79000000.0,,
2000,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,SEK,Swedish Krona,0.0,Units,,,6310000000.0,,
2000,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,CHF,Swiss Franc,0.0,Units,,,1192000000.0,,
2000,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,TRY,Turkish Lira,0.0,Units,,,65000000.0,,
2000,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,GBP,Pound Sterling,0.0,Units,,,3120000000.0,,
2000,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2000.0,USD,US Dollar,0.0,Units,,,30636638000.0,,
2001,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,62000000.0,,
2001,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,CAD,Canadian Dollar,0.0,Units,,,7339000000.0,,
2001,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,HRK,Croatian Kuna,0.0,Units,,,985000000.0,,
2001,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,CZK,Czech Koruna,0.0,Units,,,9251000000.0,,
2001,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,DKK,Danish Krone,0.0,Units,,,4827000000.0,,
2001,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,543000000.0,,
2001,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,221000000.0,,
2001,Hungary,,,,,,,,,,,,,,,
2001,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,ISK,Iceland Krona,0.0,Units,,,2031000000.0,,
2001,India,,,,,,,,,,,,,,,
2001,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,5506000000.0,,
2001,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,JPY,Yen,0.0,Units,,,2159350000000.0,,
2001,Korea,KOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,KRW,Won,0.0,Units,,,1632400000000.0,,
2001,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,74000000.0,,
2001,Netherlands,NLD,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,549000000.0,,
2001,New Zealand,NZL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,NZD,New Zealand Dollar,0.0,Units,,,724338666.0,,
2001,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,NOK,Norwegian Krone,0.0,Units,,,4895000000.0,B,Break
2001,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,PLN,Zloty,0.0,Units,,,2445000000.0,,
2001,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,229000000.0,,
2001,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,68000000.0,,
2001,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,EUR,Euro,0.0,Units,,,66000000.0,,
2001,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,SEK,Swedish Krona,0.0,Units,,,6988000000.0,,
2001,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,CHF,Swiss Franc,0.0,Units,,,2130000000.0,,
2001,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,TRY,Turkish Lira,0.0,Units,,,114000000.0,,
2001,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,GBP,Pound Sterling,0.0,Units,,,3203000000.0,B,Break
2001,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2001.0,USD,US Dollar,0.0,Units,,,31676918000.0,,
2002,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,68000000.0,,
2002,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,CAD,Canadian Dollar,0.0,Units,,,7869000000.0,,
2002,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,HRK,Croatian Kuna,0.0,Units,,,1268000000.0,,
2002,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,CZK,Czech Koruna,0.0,Units,,,8632000000.0,,
2002,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,DKK,Danish Krone,0.0,Units,,,5009000000.0,,
2002,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,634000000.0,,
2002,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,233000000.0,,
2002,Hungary,,,,,,,,,,,,,,,
2002,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,ISK,Iceland Krona,0.0,Units,,,2070000000.0,,
2002,India,,,,,,,,,,,,,,,
2002,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,5896000000.0,,
2002,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,JPY,Yen,0.0,Units,,,2099783000000.0,,
2002,Korea,KOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,KRW,Won,0.0,Units,,,1702500000000.0,,
2002,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,107000000.0,,
2002,Netherlands,NLD,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,639000000.0,,
2002,New Zealand,NZL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,NZD,New Zealand Dollar,0.0,Units,,,751280389.0,,
2002,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,NOK,Norwegian Krone,0.0,Units,,,7044000000.0,,
2002,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,PLN,Zloty,0.0,Units,,,3050000000.0,,
2002,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,2002.0,EUR,Euro,0.0,Units,,,181000000.0,,
