"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2004","2004","AZN","Azerbaijanian Manat","0","Units",,,42000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2005","2005","AZN","Azerbaijanian Manat","0","Units",,,39000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2006","2006","AZN","Azerbaijanian Manat","0","Units",,,61000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2007","2007","AZN","Azerbaijanian Manat","0","Units",,,37000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2008","2008","AZN","Azerbaijanian Manat","0","Units",,,42000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2009","2009","AZN","Azerbaijanian Manat","0","Units",,,28000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2010","2010","AZN","Azerbaijanian Manat","0","Units",,,25000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2011","2011","AZN","Azerbaijanian Manat","0","Units",,,29000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2012","2012","AZN","Azerbaijanian Manat","0","Units",,,35000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2013","2013","AZN","Azerbaijanian Manat","0","Units",,,33000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2014","2014","AZN","Azerbaijanian Manat","0","Units",,,33000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2015","2015","AZN","Azerbaijanian Manat","0","Units",,,26000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2016","2016","AZN","Azerbaijanian Manat","0","Units",,,33000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2017","2017","AZN","Azerbaijanian Manat","0","Units",,,54000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2018","2018","AZN","Azerbaijanian Manat","0","Units",,,51000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2019","2019","AZN","Azerbaijanian Manat","0","Units",,,61000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2020","2020","AZN","Azerbaijanian Manat","0","Units",,,101000000,,
"AZE","Azerbaijan","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2021","2021","AZN","Azerbaijanian Manat","0","Units",,,94000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1995","1995","EUR","Euro","0","Units",,,58000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1996","1996","EUR","Euro","0","Units",,,63000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1997","1997","EUR","Euro","0","Units",,,60000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1998","1998","EUR","Euro","0","Units",,,52000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","1999","1999","EUR","Euro","0","Units",,,58000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2000","2000","EUR","Euro","0","Units",,,59000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2001","2001","EUR","Euro","0","Units",,,62000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2002","2002","EUR","Euro","0","Units",,,68000000,,
"BEL","Belgium","I-MTN-RD","Road infrastructure maintenance","NAT","National currency","2003","2003","EUR","Euro","0","Units",,,73000000,,
