"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","EUR","Euro","0","Units",,,113741290.80637,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","EUR","Euro","0","Units",,,107367648.35808,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","EUR","Euro","0","Units",,,101302475.36558,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","EUR","Euro","0","Units",,,112559210.68223,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","EUR","Euro","0","Units",,,145516901.79206,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","EUR","Euro","0","Units",,,166020801.16708,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","EUR","Euro","0","Units",,,185872400.74963,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","EUR","Euro","0","Units",,,212893775.36472,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","EUR","Euro","0","Units",,,188405582,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","EUR","Euro","0","Units",,,135202789.9244,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","EUR","Euro","0","Units",,,127657001.70394,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","EUR","Euro","0","Units",,,175887339.7,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","EUR","Euro","0","Units",,,157402016.94128,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","EUR","Euro","0","Units",,,137772604.58245,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","EUR","Euro","0","Units",,,148466156.51841,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","EUR","Euro","0","Units",,,182571021.30739,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","EUR","Euro","0","Units",,,221976449.30489,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","EUR","Euro","0","Units",,,213399365.04632,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","EUR","Euro","0","Units",,,219297195.60624,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","EUR","Euro","0","Units",,,213745153.84517,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","EUR","Euro","0","Units",,,226217136.4914,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","EUR","Euro","0","Units",,,213537152.37752,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","EUR","Euro","0","Units",,,225577735.9854,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","EUR","Euro","0","Units",,,188596003.53937,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","EUR","Euro","0","Units",,,260016912.69,,
"LUX","Luxembourg","I-INV-RD","Road infrastructure investment","NAT","National currency","2020","2020","EUR","Euro","0","Units",,,246225524.73,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","1995","1995","EUR","Euro","0","Units",,,148128.85720941,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","EUR","Euro","0","Units",,,4550862.4644771,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","EUR","Euro","0","Units",,,485309.65944561,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","EUR","Euro","0","Units",,,1421059.7158165,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","EUR","Euro","0","Units",,,5350175.4744934,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","EUR","Euro","0","Units",,,5690477.5215467,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","EUR","Euro","0","Units",,,4401961.3324016,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","EUR","Euro","0","Units",,,9894942.9303517,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","EUR","Euro","0","Units",,,8030705.8001398,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","EUR","Euro","0","Units",,,13928687.58444,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","EUR","Euro","0","Units",,,35791796.995108,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","EUR","Euro","0","Units",,,26546945.609131,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","EUR","Euro","0","Units",,,25885221.826229,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","EUR","Euro","0","Units",,,16097173.42,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","EUR","Euro","0","Units",,,3701352.28,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","EUR","Euro","0","Units",,,12583742.48,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","EUR","Euro","0","Units",,,17340553.11,,
"MLT","Malta","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","EUR","Euro","0","Units",,,26747405.42,,
