Dataset: Transport infrastructure investment and maintenance spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,Road infrastructure investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Israel,Euro,,"994,637,927",,"1,237,422,678",,"1,125,552,727",,"983,979,469",,"589,935,549",,"529,324,278",,"692,178,331",,"1,007,377,122",,"1,212,057,856",,"860,684,964",,"982,974,947",,"1,068,054,830",,"1,275,732,623",,"1,483,126,851",,"1,371,929,381",,"1,514,097,570",,"1,625,603,012",,"1,920,462,940",,"1,932,957,467",,"2,163,096,580",,"2,744,178,937",,"2,692,327,807"
Italy,Euro,,"6,930,000,000",,"4,582,000,000",(B),"5,071,000,000",,"6,874,000,000",,"7,572,000,000",,"9,169,000,000",,"14,280,000,000",,"13,664,000,000",,"13,051,000,000",,"5,641,000,000",,"3,389,000,000",,"4,129,000,000",,"3,107,000,000",,"2,841,000,000",,"3,860,000,000",,"5,151,000,000",,"3,755,000,000",,"3,409,000,000",,"6,555,000,000",,"4,310,000,000",,"4,393,000,000",,..
Japan,Euro,,"79,312,039,934",,"67,569,403,219",,"59,914,977,217",,"49,863,540,972",,"43,272,246,849",,"40,059,037,917",,"36,602,006,737",,"31,561,476,386",,"31,870,349,621",,"37,206,998,936",,"35,766,258,465",,"35,812,517,049",,"37,300,772,096",,"33,129,221,998",,"29,639,781,729",,"28,143,419,695",,"32,575,953,058",,"31,577,903,148",,"30,027,258,171",,"32,829,904,574",,..,,..
Korea,Euro,,..,,"7,162,739,887",,"6,864,863,198",,"6,704,578,510",,"5,662,792,671",,"6,018,100,712",,"6,118,036,060",,"5,918,547,553",(B),"10,927,048,334",,"12,185,674,712",,"10,787,682,604",,"9,244,070,290",,"10,777,465,699",,"11,335,842,791",,"10,905,832,226",,"13,176,630,670",,"12,571,279,346",,"13,022,712,336",,"12,123,858,621",,"13,205,445,721",,..,,..
Latvia,Euro,,"8,000,000",,"10,000,000",,"8,000,000",(B),"46,000,000",,"55,000,000",,"139,000,000",,"158,000,000",,"231,000,000",,"272,000,000",,"132,000,000",,"131,000,000",,"222,000,000",,"190,000,000",,"199,000,000",,"188,000,000",,"203,000,000",,"190,000,000",,"226,000,000",,"221,400,000",,"223,000,000",,"198,000,000",,"201,000,000"
Lithuania,Euro,,"109,000,000",,"70,000,000",,"112,000,000",,"142,000,000",,"137,000,000",,"165,000,000",,"242,000,000",,"312,000,000",,"437,000,000",,"448,000,000",,"422,000,000",,"343,000,000",,"243,000,000",,"253,000,000",,"224,000,000",,"258,000,000",,"357,000,000",,"345,000,000",,"325,000,000",,"352,000,000",,"466,000,000",,"434,000,000"
Luxembourg,Euro,,"166,020,801",,"185,872,401",,"212,893,775",,"188,405,582",,"135,202,790",,"127,657,002",,"175,887,340",,"157,402,017",,"137,772,605",,"148,466,157",,"182,571,021",,"221,976,449",,"213,399,365",,"219,297,196",,"213,745,154",,"226,217,136",,"213,537,152",,"225,577,736",,"188,596,004",,"260,016,913",,"246,225,525",,..
Malta,Euro,,"5,690,478",,"4,401,961",,"9,894,943",,"8,030,706",,"13,928,688",,"35,791,797",,"26,546,946",,"25,885,222",,"16,097,173",,"3,701,352",,"12,583,742",,"17,340,553",,"26,747,405",,"11,066,059",,"38,522,825",,..,,..,,..,,..,,..,,..,,..
Mexico,Euro,,"1,308,028,697",,"1,171,571,102",,"1,463,651,937",,"1,708,930,558",,"2,017,217,511",,"2,857,313,305",,"2,549,586,522",,"2,164,680,126",,"2,550,704,320",,"3,021,079,242",,"3,937,749,944",,"3,916,762,920",,"3,985,257,091",,"4,180,020,576",,"4,883,321,834",,"4,296,270,671",,"3,383,341,765",,"2,161,424,639",,"2,304,810,286",,"2,277,117,181",,"1,532,723,631",,"1,630,623,065"
Moldova,Euro,,"1,914,492",,"1,041,630",,"2,259,588",,"1,777,090",,"3,976,791",,"2,423,284",,"6,488,073",,"27,691,659",,"25,982,015",,"13,423,339",,"13,778,639",,"8,144,170",,"40,216,113",,"36,179,666",,"38,885,219",,"51,077,368",,"36,290,067",,"31,283,587",,"33,658,497",,"57,360,259",,"82,565,556",,..
