 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Montenegro,"1,627.10","1,909.60","2,106.60","2,789.20","3,380.20","3,674.60","4,425.70","5,976.40","7,367.80","6,727.10","6,688.40","7,328.80","6,586.40","7,188.90","7,387.90","6,517.20","7,033.40","7,803.40","8,850.40","8,909.70","7,677.40","9,466.00","9,893.50"
Netherlands,"26,214.50","26,896.50","29,343.20","35,751.00","40,436.60","41,994.70","44,900.90","51,799.20","57,879.90","52,722.20","50,999.70","54,230.30","50,070.10","52,198.90","52,900.50","45,193.40","46,039.10","48,675.20","53,044.50","52,476.30","52,162.60","57,708.10","55,985.40"
North Macedonia,"1,861.90","1,823.00","1,989.10","2,440.50","2,795.90","3,072.70","3,363.00","4,079.40","4,841.30","4,584.70","4,577.70","5,098.10","4,728.30","5,241.10","5,495.70","4,861.60","5,149.60","5,450.50","6,108.70","6,070.40","5,965.50","6,694.60","6,591.50"
Norway,"38,178.10","38,602.10","43,170.70","50,250.20","57,768.40","67,047.20","74,434.10","85,502.80","97,503.50","80,347.10","88,163.20","101,221.80","102,175.90","103,553.80","97,666.70","74,810.00","70,867.40","76,131.80","82,792.80","76,430.60","68,340.00","90,655.40","106,148.80"
Poland,"4,501.50","4,991.20","5,207.10","5,701.60","6,681.30","8,021.50","9,035.50","11,254.30","13,995.80","11,525.90","12,504.30","13,776.40","13,010.80","13,558.30","14,182.00","12,560.10","12,378.80","13,815.50","15,504.50","15,700.00","15,816.80","17,999.80","18,321.30"
Portugal,"11,526.40","11,734.80","12,936.70","15,797.80","18,064.20","18,780.10","19,839.50","22,811.10","24,949.00","23,151.20","22,520.60","23,217.30","20,563.70","21,653.20","22,103.70","19,250.10","19,992.00","21,490.40","23,562.60","23,330.80","22,242.40","24,598.50","24,274.50"
Romania,"1,659.90","1,825.20","2,119.90","2,679.40","3,495.00","4,618.00","5,757.50","8,360.30","10,435.20","8,548.00","8,397.80","9,560.20","8,930.70","9,497.20","10,031.30","8,977.00","9,404.40","10,728.00","12,494.40","12,958.00","13,047.50","14,927.10","15,892.10"
Russian Federation,"1,771.60","2,100.40","2,377.50","2,975.10","4,102.40","5,323.50","6,920.20","9,101.20","11,635.30","8,562.80","10,675.00","14,311.10","15,420.90","15,974.60","14,095.60","9,313.00","8,704.90","10,720.30","11,287.40","11,536.30","10,194.40","12,593.20","15,345.10"
San Marino,"37,473.80","39,415.20","41,770.10","51,198.40","59,249.60","60,520.80","63,692.60","71,970.10","77,962.10","66,200.70","59,516.30","55,815.30","48,433.60","50,435.40","50,133.60","42,281.80","43,398.40","44,885.50","48,464.50","47,287.40","45,321.50","54,982.50",..
Serbia,914.8,"1,727.30","2,283.80","3,005.40","3,502.80","3,720.50","4,382.60","5,848.50","7,101.00","6,169.10","5,735.40","6,809.20","6,015.90","6,755.10","6,600.10","5,589.00","5,765.20","6,292.50","7,252.40","7,417.20","7,733.80","9,230.20","9,393.60"
Slovak Republic,"5,426.60","5,722.20","6,564.70","8,731.90","10,691.40","11,690.10","13,170.80","16,106.10","18,753.60","16,597.20","16,908.80","18,509.70","17,498.40","18,276.00","18,720.00","16,390.90","16,563.40","17,585.20","19,486.40","19,381.60","19,551.60","21,782.90","21,258.10"
Slovenia,"10,201.30","10,479.80","11,777.20","14,849.00","17,233.10","18,098.90","19,673.00","23,817.90","27,595.60","24,792.10","23,532.50","25,128.00","22,641.80","23,503.30","24,247.20","20,890.20","21,678.40","23,514.00","26,123.70","26,016.10","25,545.20","29,291.40","29,457.40"
Spain,"14,749.70","15,369.00","17,106.70","21,510.80","24,907.00","26,429.20","28,389.10","32,591.40","35,510.70","32,169.50","30,532.50","31,677.90","28,322.90","29,077.20","29,513.70","25,754.40","26,537.20","28,185.30","30,379.70","29,581.50","26,959.70","30,103.50","29,350.20"
Sweden,"29,624.80","27,247.80","29,899.10","37,321.80","42,821.80","43,437.10","46,593.30","53,700.20","56,152.60","46,946.80","52,869.00","60,755.80","58,037.80","61,126.90","60,020.40","51,545.50","51,965.20","53,791.50","54,589.10","51,939.40","52,837.90","61,143.20","55,873.20"
Switzerland,"38,864.00","39,638.40","42,458.50","49,337.50","54,659.60","56,243.90","59,009.00","64,991.00","74,175.90","71,565.60","76,531.40","90,476.80","85,836.20","87,304.30","88,725.00","83,806.40","82,153.10","82,254.40","85,216.60","84,121.90","85,656.30","91,991.60","92,101.50"
Tajikistan,137.2,168.6,186.7,233.1,305.3,333.7,401,517.4,704.7,666.7,740.3,837.9,959.4,"1,038.30","1,094.40",970.4,801.4,844.4,850.7,889,852.3,916.7,"1,054.20"
Turkiye,"4,278.30","3,100.50","3,640.80","4,704.80","6,031.80","7,369.40","8,003.80","9,668.40","10,802.60","8,989.70","10,615.00","11,308.40","11,697.50","12,507.80","12,020.30","10,851.90","10,734.30","10,464.00","9,400.80","9,103.00","8,561.10","9,661.20","10,616.10"
Turkmenistan,635.7,762.6,949.6,"1,256.00","1,418.80","1,658.70","2,074.40","2,520.30","3,778.70","3,901.70","4,286.90","5,453.20","6,441.90","7,049.80","7,685.50","6,208.30","6,163.30","6,354.50","6,721.30","7,180.50","7,297.20",..,..
Ukraine,658.3,807.8,911.9,"1,087.80","1,416.60","1,894.50","2,391.30","3,197.90","4,066.50","2,639.40","3,078.40","3,704.80","4,004.80","4,187.70","3,104.70","2,124.70","2,187.70","2,638.30","3,096.60","3,661.50","3,751.70","4,827.80","4,534.00"
United Kingdom,"28,289.70","27,888.60","30,078.60","34,480.90","40,392.30","42,131.80","44,537.70","50,438.20","47,432.90","38,820.00","39,693.20","42,150.70","42,485.60","43,449.10","47,447.60","45,071.10","41,146.10","40,622.70","43,306.30","42,747.10","40,318.40","46,585.90","45,850.40"
Uzbekistan,558.2,456.7,383.3,396.4,465.1,546.8,654.3,830.4,"1,082.30","1,213.30","1,742.30","2,051.10","2,267.60","2,419.70","2,628.50","2,754.00","2,704.70","1,916.80","1,604.30","1,795.20","1,759.30","1,993.40","2,255.20"
"Created from: World Development Indicators
Series : GDP per capita (current US$)



",,,,,,,,,,,,,,,,,,,,,,,
