,country,iso_alpha,year,pg_GDP,flag
236,Greece,GRC,2016,101.6,e
237,Spain,ESP,2016,100.6,be
238,France,FRA,2016,100.2,
239,Croatia,HRV,2016,96.9,
240,Italy,ITA,2016,102,
241,Cyprus,CYP,2016,97.9,e
242,Latvia,LVA,2016,99.3,
243,Lithuania,LTU,2016,100.7,
244,Luxembourg,LUX,2016,97.6,e
245,Hungary,HUN,2016,103.1,e
246,Malta,MLT,2016,99.8,e
247,Netherlands,NLD,2016,99,e
248,Austria,AUT,2016,100.8,
249,Poland,POL,2016,101.8,
250,Portugal,PRT,2016,104.4,e
251,Romania,ROU,2016,102.9,e
252,Slovenia,SVN,2016,98.5,e
253,Slovakia,SVK,2016,100.5,e
254,Finland,FIN,2016,86.3,
255,Sweden,SWE,2016,84.8,e
256,Iceland,ISL,2016,109,e
257,Liechtenstein,LIE,2016,0,
258,Norway,NOR,2016,99.6,e
259,Switzerland,CHE,2016,99.8,e
260,United Kingdom,GBR,2016,99.4,
261,Montenegro,MNE,2016,106.7,e
262,North Macedonia,MKD,2016,96.2,
263,Albania,ALB,2016,0,
264,Serbia,SRB,2016,98.2,e
265,Turkey,TUR,2016,99.9,
266,EU,,2017,98.3,e
267,Belgium,BEL,2017,96.6,e
268,Bulgaria,BGR,2017,93.9,e
269,Czech Republic,CZE,2017,99.2,
270,Denmark,DNK,2017,98.6,e
271,Germany,DEU,2017,94.6,
272,Estonia,EST,2017,99.8,e
273,Ireland,IRL,2017,98.8,e
274,Greece,GRC,2017,101.7,e
275,Spain,ESP,2017,94.4,e
276,France,FRA,2017,99,
277,Croatia,HRV,2017,94.5,
278,Italy,ITA,2017,105.3,
279,Cyprus,CYP,2017,94.2,e
280,Latvia,LVA,2017,102,
281,Lithuania,LTU,2017,115.5,
282,Luxembourg,LUX,2017,98.5,e
283,Hungary,HUN,2017,103.5,e
284,Malta,MLT,2017,91,e
285,Netherlands,NLD,2017,95,e
286,Austria,AUT,2017,100.2,
287,Poland,POL,2017,99.9,e
288,Portugal,PRT,2017,103.8,e
289,Romania,ROU,2017,97.5,e
290,Slovenia,SVN,2017,96.1,e
291,Slovakia,SVK,2017,99.2,e
292,Finland,FIN,2017,95.7,
293,Sweden,SWE,2017,84.3,e
294,Iceland,ISL,2017,114.6,e
295,Liechtenstein,LIE,2017,0,
296,Norway,NOR,2017,98.8,e
297,Switzerland,CHE,2017,99.6,e
298,United Kingdom,GBR,2017,103.6,e
299,Montenegro,MNE,2017,103.7,e
300,North Macedonia,MKD,2017,95,
301,Albania,ALB,2017,0,
302,Serbia,SRB,2017,97.3,e
303,Turkey,TUR,2017,94.4,e
304,EU,,2018,96.6,be
305,Belgium,BEL,2018,95.5,e
306,Bulgaria,BGR,2018,89.7,e
307,Czech Republic,CZE,2018,100.9,
308,Denmark,DNK,2018,97.2,e
309,Germany,DEU,2018,93.8,
310,Estonia,EST,2018,97.8,e
311,Ireland,IRL,2018,93,e
312,Greece,GRC,2018,101.3,e
313,Spain,ESP,2018,94.8,e
314,France,FRA,2018,96.7,
315,Croatia,HRV,2018,89.3,
316,Italy,ITA,2018,102,
317,Cyprus,CYP,2018,92.4,e
318,Latvia,LVA,2018,99.9,
319,Lithuania,LTU,2018,107.5,
320,Luxembourg,LUX,2018,99.4,e
321,Hungary,HUN,2018,100.7,e
322,Malta,MLT,2018,87.3,e
323,Netherlands,NLD,2018,97,e
324,Austria,AUT,2018,90.7,be
325,Poland,POL,2018,96.1,e
326,Portugal,PRT,2018,104.7,e
327,Romania,ROU,2018,96.8,e
328,Slovenia,SVN,2018,93.3,e
329,Slovakia,SVK,2018,97.1,e
330,Finland,FIN,2018,94.9,
331,Sweden,SWE,2018,83.5,e
332,Iceland,ISL,2018,113.2,e
333,Liechtenstein,LIE,2018,0,
334,Norway,NOR,2018,99,e
335,Switzerland,CHE,2018,97.1,e
336,United Kingdom,GBR,2018,103.8,e
337,Montenegro,MNE,2018,104.5,e
338,North Macedonia,MKD,2018,96.9,
339,Albania,ALB,2018,0,
340,Serbia,SRB,2018,95.5,e
341,Turkey,TUR,2018,99.1,
342,EU,,2019,95.4,e
343,Belgium,BEL,2019,93.8,e
344,Bulgaria,BGR,2019,88.7,e
345,Czech Republic,CZE,2019,101.5,
346,Denmark,DNK,2019,98.2,e
347,Germany,DEU,2019,91.1,p
348,Estonia,EST,2019,100.2,e
349,Ireland,IRL,2019,90.5,e
350,Greece,GRC,2019,100.9,e
351,Spain,ESP,2019,93.6,e
352,France,FRA,2019,94.6,
353,Croatia,HRV,2019,86.1,
354,Italy,ITA,2019,102.9,
355,Cyprus,CYP,2019,90.1,e
356,Latvia,LVA,2019,98.9,
357,Lithuania,LTU,2019,106.9,e
358,Luxembourg,LUX,2019,99.6,e
359,Hungary,HUN,2019,99.3,e
360,Malta,MLT,2019,83.8,e
361,Netherlands,NLD,2019,97,e
362,Austria,AUT,2019,87.5,e
363,Poland,POL,2019,94.4,e
364,Portugal,PRT,2019,104.8,e
365,Romania,ROU,2019,99.1,e
366,Slovenia,SVN,2019,91.4,e
367,Slovakia,SVK,2019,95.4,e
368,Finland,FIN,2019,94,
369,Sweden,SWE,2019,82.2,e
370,Iceland,ISL,2019,109.2,e
371,Liechtenstein,LIE,2019,0,
372,Norway,NOR,2019,98.7,e
373,Switzerland,CHE,2019,97.5,e
374,United Kingdom,GBR,2019,104.3,e
375,Montenegro,MNE,2019,105.2,e
376,North Macedonia,MKD,2019,93,
377,Albania,ALB,2019,0,
378,Serbia,SRB,2019,93.5,e
379,Turkey,TUR,2019,102.9,
380,EU,,2020,79.2,e
381,Belgium,BEL,2020,80.9,ep
382,Bulgaria,BGR,2020,75.4,e
383,Czech Republic,CZE,2020,83.8,
384,Denmark,DNK,2020,88.4,e
385,Germany,DEU,2020,79.9,p
386,Estonia,EST,2020,79.1,e
387,Ireland,IRL,2020,70.1,e
388,Greece,GRC,2020,91.6,ep
389,Spain,ESP,2020,77.5,ep
390,France,FRA,2020,79.2,
391,Croatia,HRV,2020,71.1,
392,Italy,ITA,2020,71.9,
393,Cyprus,CYP,2020,75.5,e
394,Latvia,LVA,2020,91.1,
395,Lithuania,LTU,2020,93.5,e
396,Luxembourg,LUX,2020,84.6,e
397,Hungary,HUN,2020,91.9,e
398,Malta,MLT,2020,76.1,e
399,Netherlands,NLD,2020,68.4,e
400,Austria,AUT,2020,78.6,e
401,Poland,POL,2020,84.9,e
402,Portugal,PRT,2020,95.3,e
403,Romania,ROU,2020,88.2,e
404,Slovenia,SVN,2020,77.5,e
405,Slovakia,SVK,2020,78.2,e
406,Finland,FIN,2020,89.2,
407,Sweden,SWE,2020,74.9,e
408,Iceland,ISL,2020,101.1,e
409,Liechtenstein,LIE,2020,0,
